'1.1', 1, 1, -200, 50, 5, 0, 0, 1
'1.2', 1, 1, -288, 34, 1, 0, 0, 1
'1.3', 1, 1, -128, 64, 16, 0, 0, 0
'1.4', 1, 1, -144, 54, 9, 0, 0, 1
'1.5', 1, 1, -144, 60, 12, 0, 0, 0
'1.6', 1, 1, -176, 56, 8, 0, 0, 0
'1.7', 1, 1, -296, 44, 2, 0, 0, 0
'1.8', 1, 1, -204, 42, 3, 0, 0, 1
'1.9', 1, 1, -484, 46, 1, 0, 0, 1
'1.10', 1, 1, -144, 40, 4, 0, 0, 0
'1.11', 1, 1, -156, 48, 6, 0, 0, 0
'1.12', 1, 1, -156, 32, 2, 0, 0, 0
'1.13', 1, 1, -120, 22, 1, 0, 0, 1
'1.14', 1, 1, -256, 52, 4, 0, 0, 0
'2.1', 1, 1, -60, 228, 12, 0, 0, 0
'2.2', 2, 1, -162, 360, 18, 0, 0, 1
'2.3', 1, 1, -114, 132, 6, 0, 0, 0
'2.4', 2, 1, -366, 168, 6, 0, 0, 1
'2.5', 1, 1, -120, 356, 20, 0, 0, 0
'2.6', 1, 1, -150, 282, 15, 0, 0, 1
'2.7', 1, 1, -200, 208, 10, 0, 0, 0
'2.8', 1, 1, -310, 158, 5, 0, 0, 1
'2.9', 3, 1, -112, 648, 24, 0, 0, 0
'2.10', 1, 1, -52, 168, 6, 0, 0, 0
'2.11', 3, 1, -224, 360, 12, 0, 0, 0
'2.12', 3, 1, -364, 216, 6, 0, 0, 0
'2.13', 2, 2, -44, 116, 8, 0, 0, 0
'2.14', 12, 2, -162, 186, 12, 0, 0, 0
'2.15', 2, 2, -134, 70, 4, 0, 0, 0
'2.16', 4, 2, -470, 94, 4, 0, 0, 0
'2.17', 1, 1, 48, 8, 8, 0, 0, 0
'2.18', 1, 1, 12, 12, 6, 0, 0, 0
'2.19', 1, 1, -100, 20, 2, 0, 0, 0
'2.20', 3, 3, -120, 128, 12, 1, 1, 0
'2.21', 3, 3, -198, 105, 9, 1, 1, 0
'2.22', 3, 3, -312, 82, 6, 1, 1, 0
'2.23', 3, 3, -534, 83, 3, 1, 1, 0
'2.24', 6, 1, -8, 624, 24, 1, 0, 0
'2.25', 18, 1, -78, 486, 18, 1, 0, 0
'2.26', 6, 1, -172, 348, 12, 1, 0, 0
'2.27', 6, 1, -338, 210, 6, 1, 0, 0
'2.28', 3, 1, 168, 0, 12, 1, 1, 0
'2.29', 3, 1, 90, 9, 9, 1, 1, 0
'2.30', 3, 1, -126, 27, 3, 1, 1, 0
'2.31', 2, 1, 272, -16, 8, 1, 0, 0
'2.32', 6, 1, 180, -6, 6, 1, 0, 0
'2.33', 2, 1, 80, 4, 4, 1, 0, 0
'2.34', 2, 1, -44, 14, 2, 1, 0, 0
'2.35', 1, 1, 472, -32, 4, 1, 1, 0
'2.36', 1, 1, 342, -21, 3, 1, 1, 0
'2.37', 1, 1, 208, -10, 2, 1, 1, 0
'2.38', 1, 1, 62, 1, 1, 1, 1, 0
'2.39', 1, 1, 420, 65, 5, 1, 0, 0
'2.40', 1, 1, 580, -11, 1, 1, 0, 0
'2.41', 3, 3, 324, 51, 3, 1, 0, 0
'2.42', 3, 1, 168, 108, 6, 0, 0, 0
'2.43', 1, 1, 192, 64, 4, 0, 0, 0
'2.44', 1, 1, 600, 2, 2, 1, 0, 0
'2.45', 3, 1, 420, 27, 3, 1, 0, 0
'2.46', 1, 1, 972, -23, 1, 1, 0, 0
'2.47', 2, 2, 304, 26, 2, 0, 0, 0
'2.48', 6, 1, 336, 90, 6, 1, 0, 0
'2.49', 2, 1, 320, 14, 2, 1, 0, 0
'2.50', 1, 1, 244, 1, 1, 1, 0, 0
'2.51', 1, 1, 264, 20, 2, 0, 0, 0
'2.52', 1, 1, -32, 312, 12, 0, 0, 0
'2.53', 1, 1, -116, 2376, 24, 0, 0, 0
'2.54', 3, 3, -180, 624, 24, 1, 0, 0
'2.55', 1, 1, -116, 1232, 32, 0, 0, 0
'2.56', 1, 1, -120, 660, 36, 0, 0, 0
'2.57', 5, 5, -200, 32, 20, 1, 1, 0
'2.58', 3, 3, 36, 0, 12, 1, 1, 0
'2.59', 1, 1, 108, -32, 4, 1, 1, 0
'2.60', 1, 1, -64, 332, 20, 0, 0, 0
'2.61', 1, 1, -116, 460, 28, 0, 0, 0
'2.62', 1, 1, -96, 1092, 42, 0, 0, 0
'2.63', 2, 1, 24, -12, 12, 0, 0, 0
'2.64', 6, 2, -96, 858, 66, 0, 0, 0
'2.65', 6, 3, -128, 112, 24, 1, 0, 0
'2.67', 6, 1, 216, -72, 54, 0, 1, 1
'2.68', 2, 2, 216, -24, 12, 0, 0, 0
'2.69', 20, 4, -64, 140, 20, 0, 0, 0
'2.70', 6, 2, -120, 24, 12, 0, 0, 0
'2.71', 4, 2, 80, 4, 16, 1, 0, 0
'3.1', 1, 1, -16, 600, 24, 0, 0, 0
'3.2', 1, 1, 160, 51, 3, 1, 0, 0
'3.3', 6, 1, 136, 276, 12, 1, 0, 0
'3.4', 9, 9, 108, 9, 9, 1, 0, 0
'3.5', 1, 1, -88, 636, 18, 0, 0, 0
'3.6', 1, 1, -72, 36, 6, 0, 0, 0
'3.7', 1, 1, 12, 102, 9, 0, 0, 1
'3.8', 1, 1, -36, 180, 18, 0, 0, 0
'3.9', 1, 1, -100, 310, 25, 0, 0, 1
'3.10', 1, 1, -16, 216, 12, 0, 0, 0
'3.11', 1, 1, 44, 60, 6, 0, 0, 0
'3.12', 3, 3, 12, 2, 3, 0, 0, 1
'3.13', 3, 1, -56, 36, 6, 0, 0, 0
'3.14', 1, 1, -100, 110, 5, 0, 0, 1
'3.15', 1, 1, -58, 100, 16, 1, 1, 0
'3.16', 1, 1, 16, -4, 2, 0, 0, 0
'3.17', 1, 1, 40, 12, 6, 0, 0, 0
'3.18', 1, 1, -64, 468, 6, 0, 0, 0
'3.19', 1, 1, 12, -2, 1, 0, 0, 1
'3.20', 7, 7, 224, 10, 7, 0, 0, 1
'3.21', 3, 1, 152, 84, 6, 0, 0, 0
'3.22', 1, 1, -36, 106, 7, 0, 0, 1
'3.23', 4, 4, 180, 7, 4, 0, 0, 0
'3.24', 2, 1, -148, 272, 56, 1, 0, 0
'3.25', 3, 1, -152, 288, 60, 1, 1, 0
'3.26', 5, 5, 40, 4, 10, 0, 0, 0
'3.27', 1, 1, 24, 58, 10, 1, 0, 0
'3.28', 3, 1, -84, 516, 42, 0, 0, 0
'3.29', 7, 1, -108, 756, 42, 0, 0, 0
'3.30', 3, 3, 248, 4, 6, 0, 0, 0
'3.31', 1, 1, -128, 668, 44, 0, 0, 0
'3.32', 1, 1, -8, 32, 8, 0, 0, 0
'3.33', 3, 3, 48, -28, 12, 0, 1, 0
'3.34', 1, 1, 20, 8, 8, 0, 0, 0
'4.1', 6, 2, 224, -36, 12, 0, 0, 0
'4.2', 3, 1, 164, -48, 12, 0, 0, 0
'4.3', 2, 1, 108, -36, 12, 0, 1, 0
'4.4', 2, 1, 90, -28, 8, 0, 0, 0
'4.5', 3, 3, 192, -20, 6, 0, 0, 0
'4.6', 2, 2, 160, -26, 10, 0, 1, 1
'4.7', 1, 1, 104, -24, 6, 0, 0, 0
'4.8', 6, 3, 390, 18, 6, 1, 0, 0
'4.9', 2, 1, 102, -24, 6, 0, 0, 1
'4.10', 12, 2, 462, -54, 12, 0, 0, 0
'4.11', 9, 3, 504, -39, 9, 1, 0, 0
'4.12', 3, 1, 240, -54, 15, 0, 1, 1
'4.13', 6, 1, 448, -72, 12, 0, 0, 0
'4.14', 6, 2, 500, -42, 6, 0, 0, 0
'4.15', 1, 1, 222, -36, 6, 0, 1, 0
'4.16', 2, 2, 314, -26, 4, 0, 0, 0
'4.17', 6, 3, 696, -38, 6, 1, 0, 0
'4.18', 2, 1, 360, -56, 10, 0, 1, 1
'4.19', 3, 1, 728, -72, 6, 0, 0, 0
'4.20', 6, 1, 754, 66, 6, 1, 0, 0
'4.21', 2, 1, 726, -72, 6, 0, 0, 1
'4.22', 4, 2, 986, -50, 4, 0, 0, 0
'4.23', 3, 3, 1104, -37, 3, 1, 0, 0
'4.24', 1, 1, 600, -58, 5, 0, 1, 1
'4.25', 39, 1, 312, 1755, 39, 1, 0, 0
'4.26', 23, 1, 200, -92, 46, 0, 0, 0
'4.27', 21, 1, 360, -126, 42, 1, 0, 0
'4.28', 2, 2, 336, -210, 42, 0, 1, 1
'4.29', 6, 1, -60, 60, 12, 0, 1, 0
'4.30', 19, 1, 240, 57, 57, 1, 1, 0
'4.31', 11, 1, 360, -132, 66, 0, 0, 0
'4.32', 5, 1, 224, -80, 40, 0, 0, 0
'4.33', 1, 1, -44, 120, 6, 0, 0, 0
'4.34', 1, 1, -120, 250, 13, 0, 0, 1
'4.35', 1, 1, 20, 32, 8, 0, 0, 0
'4.36', 1, 1, -120, 118, 7, 0, 0, 1
'4.37', 1, 1, -128, 668, 44, 0, 0, 0
'4.38', 1, 1, 48, 13, 1, 1, 1, 0
'4.39', 1, 1, -116, 82, 10, 1, 0, 0
'4.40', 1, 1, -44, 26, 2, 1, 0, 0
'4.41', 1, 1, -8, 32, 8, 0, 0, 0
'4.42', 2, 2, -128, 58, 10, 0, 0, 0
'4.43', 2, 2, 640, -4, 2, 0, 0, 1
'4.44', 1, 1, -60, 98, 5, 0, 0, 1
'4.45', 4, 4, -72, 16, 4, 0, 0, 0
'4.46', 2, 1, -78, 140, 8, 0, 0, 0
